序号,ID,商品名,厂商,B01重做状态,本地图片,官方来源,官方页/官图URL,本地像素,KB,说明
34,KR-MER-0398,鬼龍紅郎 「あんさんぶるスターズ!! みにコレ!前髪クリップ2 vol.7」,エスケイジャパン,已落图并写入网页,assets/images/KR-MER-0398.jpg,SK JAPAN官方,https://www.sk-japan.co.jp/wp-content/uploads/2026/02/%E3%81%82%E3%82%93%E3%81%95%E3%82%93%E3%81%B6%E3%82%8B%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA_%E3%81%BF%E3%81%AB%E3%82%B3%E3%83%AC%EF%BC%81_%E5%89%8D%E9%AB%AA%E3%82%AF%E3%83%AA%E3%83%83%E3%83%972_vol7_DPPOP_%E3%82%AD%E3%83%A3%E3%83%A9%E3%81%A8%E3%82%8B-scaled.jpg,480×600,66.6,官方发布来源：SK JAPAN官方
35,KR-MER-0485,鬼龍紅郎 「もちもちマスコット あんさんぶるスターズ!! Vol.13」,エスケイジャパン,已落图并写入网页,assets/images/KR-MER-0485.jpg,SK JAPAN官方,https://www.sk-japan.co.jp/mochimochi/archive/25110607,800×693,108.5,SK JAPAN官方商品页/完整阵容图
36,KR-MER-0067,あんさんぶるスターズ！！ Huggy Good Smile 鬼龍紅郎,グッドスマイルアーツ上海,已落图并写入网页,assets/images/KR-MER-0067.webp,Good Smile官方,https://www.goodsmile.com/ja/product/1140302,750×750,30.4,Good Smile官方精确商品页/鬼龍紅郎商品图
37,KR-MER-0068,鬼龍紅郎 きゃらとりあ アクリルキーホルダー 「あんさんぶるスターズ!!」,アルジャーノンプロダクト,已落图并写入网页,assets/images/KR-MER-0068.jpg,Algernon Product官方,https://algernonproduct.co.jp/wp-content/uploads/2026/04/%E3%81%82%E3%82%93%E3%81%95%E3%82%93%E3%81%B6%E3%82%8B%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA_%E3%82%AD%E3%83%A3%E3%83%A9%E3%81%A8%E3%82%8A%E3%81%82_%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB%E3%82%AD%E3%83%BC%E3%83%9B%E3%83%AB%E3%83%80%E3%83%BC%E6%A1%88%E5%86%85POP-scaled.jpg,2560×1811,1164.3,官方发布来源：Algernon Product官方
38,KR-MER-0486,鬼龍紅郎 「あんさんぶるスターズ!! おなまえぴたんコ ラバーマスコット Vol.7」,アルジャーノンプロダクト,已落图并写入网页,assets/images/KR-MER-0486.jpg,Algernon Product官方,https://algernonproduct.co.jp/wp-content/uploads/2026/01/%E3%81%82%E3%82%93%E3%81%95%E3%82%93%E3%81%B6%E3%82%8B%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA_%E3%81%8A%E3%81%AA%E3%81%BE%E3%81%88%E3%81%B4%E3%81%9F%E3%82%93%E3%82%B3Vol.7-POP-1024x724.jpg,1024×724,248.6,官方发布来源：Algernon Product官方
39,KR-MER-0147,鬼龍紅郎 「あんさんぶくぶスターズ!! グリッター缶バッジコレクション vol.4」,amie,已落图并写入网页｜待高清替换,assets/images/KR-MER-0147.webp,amie官方（あみあみ）,https://www.amiami.jp/top/detail/detail?gcode=GOODS-04763951,205×240,14.1,amie官方商品图裁切；当前像素较低，保留待高清替换
40,KR-MER-0397,鬼龍紅郎 「あんさんぶるスターズ!! スターキーホルダーコレクションSparkle Vol.7」,amie,已落图并写入网页,assets/images/KR-MER-0397.jpg,amie官方（あみあみ）,https://www.amiami.jp/top/detail/detail?gcode=GOODS-04705125,800×800,76.8,amie官方精确商品页/商品图
41,KR-MER-0445,鬼龍紅郎 「あんさんぶるスターズ!! ジュエリープレートコレクション vol.4」,amie,已落图并写入网页｜待高清替换,assets/images/KR-MER-0445.webp,amie官方（あみあみ）,https://www.amiami.jp/top/detail/detail?gcode=GOODS-04554097,210×330,32.9,amie官方商品图裁切；当前像素较低，保留待高清替换
42,KR-MER-0559,鬼龍紅郎 「あんさんぶるスターズ!! ぴくりあコレクションPremium Vol.4」,amie,已落图并写入网页｜待高清替换,assets/images/KR-MER-0559.webp,amie官方（あみあみ）,https://www.amiami.jp/top/detail/detail?gcode=GOODS-04720085,190×140,10.2,amie官方商品图裁切；当前像素较低，保留待高清替换
43,KR-MER-0217,鬼龍紅郎 「あんさんぶるスターズ!! アルカナカードコレクション3」,エンスカイ,未落图｜仍留在B01继续追,,Ensky官方,https://www.ensky.co.jp/item/28023.html,,0,2025版アルカナカードコレクション3官方精确商品页/阵容图已确认；当前未取得可落库原始像素
44,KR-MER-0222,SP.72[スペシャルカード]：鬼龍紅郎 「あんさんぶるスターズ!! クリアカードコレクションガム4」,エンスカイ,已落图并写入网页｜待高清替换,assets/images/KR-MER-0222.jpg,Ensky官方,https://www.ensky.co.jp/item/30183.html,125×175,15.9,Ensky官方商品/阵容素材裁切；当前像素较低，保留待高清替换
45,KR-MER-0374,鬼龍紅郎 ビジュアルバスタオル vol.6 「あんさんぶるスターズ!!」,エンスカイ,未落图｜仍留在B01继续追,,Ensky官方,https://www.ensky.co.jp/item/29571.html,,0,鬼龍紅郎ビジュアルバスタオルvol.6官方精确商品页/官图已确认；当前未取得可落库原始像素
46,KR-MER-0515,No.189[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ!! クリアカードコレクションガム4」,エンスカイ,已落图并写入网页｜待高清替换,assets/images/KR-MER-0515.jpg,Ensky官方,https://www.ensky.co.jp/item/30183.html,125×170,15.0,Ensky官方商品/阵容素材裁切；当前像素较低，保留待高清替换
47,KR-MER-0913,鬼龍 紅郎(デッドマンズ衣装ver.) 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 トレーディングハート型缶バッジ」,HOBBY STOCK,已落图并写入网页｜待高清替换,assets/images/KR-MER-0913.jpg,HOBBY STOCK官方,https://www.hobbystock.jp/item/view/hso-ccg-00015158,220×245,15.5,HOBBY STOCK官方精确商品图裁切；当前像素较低，保留待高清替换
48,KR-MER-0914,鬼龍 紅郎(紅月衣装ver.) 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 トレーディングハート型缶バッジ」,HOBBY STOCK,已落图并写入网页｜待高清替换,assets/images/KR-MER-0914.jpg,HOBBY STOCK官方,https://www.hobbystock.jp/item/view/hso-ccg-00015158,280×255,19.9,HOBBY STOCK官方精确商品图裁切；当前像素较低，保留待高清替换
49,KR-MER-0915,鬼龍 紅郎(デッドマンズ衣装ver.) 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 トレーディングオーロラアクリルキーホルダー」,HOBBY STOCK,已落图并写入网页｜待高清替换,assets/images/KR-MER-0915.jpg,HOBBY STOCK官方,https://www.hobbystock.jp/item/view/hso-ccg-00015161,225×260,15.7,HOBBY STOCK官方精确商品图裁切；当前像素较低，保留待高清替换
50,KR-MER-0916,鬼龍 紅郎(紅月衣装ver.) 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 トレーディングオーロラアクリルキーホルダー」,HOBBY STOCK,已落图并写入网页｜待高清替换,assets/images/KR-MER-0916.jpg,HOBBY STOCK官方,https://www.hobbystock.jp/item/view/hso-ccg-00015161,285×275,26.4,HOBBY STOCK官方精确商品图裁切；当前像素较低，保留待高清替换
