周边ID,图片形式,商品名,当前图片,图片来源说明,图片来源URL,本轮动作,本轮原因
KR-MER-0388,外链,鬼龍紅郎 クリアポーチ 「あんさんぶるスターズ!!」,https://www.enskyshop.com/html/upload/save_image/0325154629_69c384c5482ad.jpg,エンスカイショップ鬼龍紅郎官方商品CG,https://www.enskyshop.com/html/upload/save_image/0325154629_69c384c5482ad.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0390,本地,鬼龍紅郎 ハート型スライドミラー 「あんさんぶるスターズ!! 追憶セレクション『クロスロード』」,assets/images/KR-MER-0390.webp,Crossroad封口图片工程,https://www.hobbystock.jp/item/view/hso-ccg-00015248,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0448,本地,鬼龍紅郎 「あんさんぶるスターズ!! フレフレスケルトンうちわmini vol.4」,assets/images/KR-MER-0448.webp,AmiAmi官方鬼龍紅郎独立商品图,https://img.amiami.jp/images/product/review/244/GOODS-04536725_07.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0449,本地,あんさんぶるスターズ!! ステラフォトsparkle Vol.2-B 10.鬼龍紅郎,assets/images/KR-MER-0449.webp,AmiAmi/amie鬼龍紅郎独立官方预约商品主图,https://img.amiami.jp/images/product/main/262/GOODS-04811454.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0461,本地,鬼龍紅郎 つままれキーホルダー 「あんさんぶるスターズ!」,assets/images/KR-MER-0461.webp,AmiAmi/amie鬼龍紅郎独立商品主图,https://img.amiami.jp/images/product/main/201/GOODS-00368112.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0462,外链,鬼龍紅郎 「あんさんぶるスターズ! 着ぐるみバッジ 第五弾」,https://img.amiami.jp/images/product/review/164/GOODS-00127968_11.jpg,AmiAmi官方角色商品图（review gallery）,https://img.amiami.jp/images/product/review/164/GOODS-00127968_11.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0463,外链,鬼龍紅郎 「あんさんぶるスターズ! スマイルすうぃんぐバッジ 第二弾」,https://img.amiami.jp/images/product/review/171/GOODS-00142724_11.jpg,AmiAmi官方review gallery・鬼龍紅郎角色高清图,https://img.amiami.jp/images/product/review/171/GOODS-00142724_11.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0464,本地,鬼龍紅郎 つままれストラップ 「あんさんぶるスターズ!」,assets/images/KR-MER-0464.webp,AmiAmi/amie鬼龍紅郎独立商品主图,https://img.amiami.jp/images/product/main/201/GOODS-00368102.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0470,外链,鬼龍紅郎 「あんさんぶるスターズ! ふきだしメモクリップスタンド 第三弾」,https://www.bs-log.com/wp-content/uploads/2017/01/a0690e67b9de78c268eecb0460c19953.jpg,B’s LOG官方商品介绍・鬼龍紅郎单品高清图,https://www.bs-log.com/wp-content/uploads/2017/01/a0690e67b9de78c268eecb0460c19953.jpg,撤图,当前唯一展示源为B’s LOG媒体文章，不属于厂商/官方店/官方活动官源，按严格官图规则撤出展示层
KR-MER-0471,外链,『あんさんぶるスターズ!!』ライブボディーシール 17.鬼龍紅郎,https://img.amiami.jp/images/product/main/203/GOODS-00398408.jpg,AmiAmi角色精确页官方主图,https://img.amiami.jp/images/product/main/203/GOODS-00398408.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0472,外链,あんさんぶるスターズ! 立体ネームアクキー 鬼龍紅郎,https://img.amiami.jp/images/product/main/181/GOODS-00216393.jpg,AmiAmi官方鬼龍紅郎角色商品图,https://img.amiami.jp/images/product/main/181/GOODS-00216393.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0473,本地,『あんさんぶるスターズ!!』ステラフォトsparkle 39.鬼龍紅郎,assets/images/KR-MER-0473.webp,AmiAmi/amie鬼龍紅郎独立官方商品主图,https://img.amiami.jp/images/product/main/244/GOODS-04561557.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0475,外链,鬼龍紅郎 チャーム付きシャイニーブレスレット 「あんさんぶるスターズ!」,https://img.amiami.jp/images/product/main/153/GOODS-00041998.jpg,AmiAmi官方鬼龍紅郎完整商品CG,https://img.amiami.jp/images/product/main/153/GOODS-00041998.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0477,本地,着ぐるみメモ 鬼龍紅郎 「あんさんぶるスターズ!」,assets/images/KR-MER-0477.webp,AmiAmi/amie鬼龍紅郎独立官方商品主图,https://img.amiami.jp/images/product/main/161/GOODS-00071398.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0478,外链,あんさんぶるスターズ!! フレフレスケルトンうちわ 39.鬼龍紅郎,https://img.amiami.jp/images/product/main/211/GOODS-04094059.jpg,AmiAmi角色单品官方主图,https://img.amiami.jp/images/product/main/211/GOODS-04094059.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0479,外链,鬼龍紅郎 「あんさんぶるスターズ!! おなまえアクリルバッジぷち Vol.4」,https://img.amiami.jp/images/product/review/214/GOODS-04185430_06.jpg,AmiAmi官方角色商品图（review gallery）,https://img.amiami.jp/images/product/review/214/GOODS-04185430_06.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0480,外链,フェルトキーホルダー 鬼龍紅郎 「あんさんぶるスターズ!」,https://img.amiami.jp/images/product/main/154/GOODS-00066789.jpg,AmiAmi角色单品商品图,https://img.amiami.jp/images/product/main/154/GOODS-00066789.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0481,外链,UVミラー 鬼龍紅郎 「あんさんぶるスターズ!」,https://img.amiami.jp/images/product/main/153/GOODS-00041906.jpg,AmiAmi角色官方商品主图,https://img.amiami.jp/images/product/main/153/GOODS-00041906.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0482,本地,着ぐるみメモ Summer ver. 鬼龍紅郎 「あんさんぶるスターズ!」,assets/images/KR-MER-0482.webp,AmiAmi/amie鬼龍紅郎独立官方商品主图,https://img.amiami.jp/images/product/main/172/GOODS-00159476.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0483,外链,鬼龍紅郎 「あんさんぶるスターズ! コードホルダークリップ C」,https://img.amiami.jp/images/product/review/173/GOODS-00174800_03.jpg,AmiAmi官方review gallery・鬼龍紅郎角色高清图,https://img.amiami.jp/images/product/review/173/GOODS-00174800_03.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0517,外链,鬼龍紅郎 「あんさんぶるスターズ! カプセル缶バッジコレクションvol.2」,https://bandai-a.akamaihd.net/bc/img/model/xl/1000116890_5.jpg,BANDAIガシャポン公式鬼龍紅郎商品画像,https://bandai-a.akamaihd.net/bc/img/model/xl/1000116890_5.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0518,外链,鬼龍紅郎 「あんさんぶるスターズ! カプセル缶バッジコレクションvol.4」,https://bandai-a.akamaihd.net/bc/img/model/xl/1000123886_5.jpg,BANDAIガシャポン公式鬼龍紅郎商品画像,https://bandai-a.akamaihd.net/bc/img/model/xl/1000123886_5.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0577,本地,鬼龍紅郎(紅月衣装ver.) クロスロード クリップキーホルダー 「あんさんぶるスターズ!! 追憶セレクション POP-UP STORE」,assets/images/KR-MER-0577.webp,Crossroad封口图片工程,https://www.animate-onlineshop.jp/sphone/pn/%E3%80%90%E3%82%B0%E3%83%83%E3%82%BA-%E3%82%AD%E3%83%BC%E3%83%9B%E3%83%AB%E3%83%80%E3%83%BC%E3%80%91%E3%81%82%E3%82%93%E3%81%95%E3%82%93%E3%81%B6%E3%82%8B%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA%EF%BC%81%EF%BC%81%20%E8%BF%BD%E6%86%B6%E3%82%BB%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%8E%E3%82%AF%E3%83%AD%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%89%E3%80%8F%20%E3%82%AF%E3%83%AA%E3%83%83%E3%83%97%E3%82%AD%E3%83%BC%E3%83%9B%E3%83%AB%E3%83%80%E3%83%BC%20%E9%AC%BC%E9%BE%8D%20%E7%B4%85%E9%83%8E%28%E7%B4%85%E6%9C%88%E8%A1%A3%E8%A3%85ver.%29/pd/3083631/,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0578,本地,鬼龍紅郎(デッドマンズ衣装ver.) クロスロード クリップキーホルダー 「あんさんぶるスターズ!! 追憶セレクション POP-UP STORE」,assets/images/KR-MER-0578.webp,Crossroad封口图片工程,https://www.animate-onlineshop.jp/sphone/pn/%E3%80%90%E3%82%B0%E3%83%83%E3%82%BA-%E3%82%AD%E3%83%BC%E3%83%9B%E3%83%AB%E3%83%80%E3%83%BC%E3%80%91%E3%81%82%E3%82%93%E3%81%95%E3%82%93%E3%81%B6%E3%82%8B%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA%EF%BC%81%EF%BC%81%20%E8%BF%BD%E6%86%B6%E3%82%BB%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%8E%E3%82%AF%E3%83%AD%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%89%E3%80%8F%20%E3%82%AF%E3%83%AA%E3%83%83%E3%83%97%E3%82%AD%E3%83%BC%E3%83%9B%E3%83%AB%E3%83%80%E3%83%BC%20%E9%AC%BC%E9%BE%8D%20%E7%B4%85%E9%83%8E%28%E3%83%87%E3%83%83%E3%83%89%E3%83%9E%E3%83%B3%E3%82%BA%E8%A1%A3%E8%A3%85ver.%29/pd/3083625/,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0579,本地,鬼龍紅郎(紅月衣装ver.) クロスロード アクリルキーホルダー2.5 「あんさんぶるスターズ!! 追憶セレクション POP-UP STORE」,assets/images/KR-MER-0579.webp,Crossroad封口图片工程,https://www.animate-onlineshop.jp/sphone/pn/%E3%80%90%E3%82%B0%E3%83%83%E3%82%BA-%E3%82%AD%E3%83%BC%E3%83%9B%E3%83%AB%E3%83%80%E3%83%BC%E3%80%91%E3%81%82%E3%82%93%E3%81%95%E3%82%93%E3%81%B6%E3%82%8B%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA%EF%BC%81%EF%BC%81%20%E8%BF%BD%E6%86%B6%E3%82%BB%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%8E%E3%82%AF%E3%83%AD%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%89%E3%80%8F%20%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB%E3%82%AD%E3%83%BC%E3%83%9B%E3%83%AB%E3%83%80%E3%83%BC2.5%20%E9%AC%BC%E9%BE%8D%20%E7%B4%85%E9%83%8E%28%E7%B4%85%E6%9C%88%E8%A1%A3%E8%A3%85ver.%29/pd/3083642/,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0580,本地,鬼龍紅郎(デッドマンズ衣装ver.) クロスロード アクリルキーホルダー2.5 「あんさんぶるスターズ!! 追憶セレクション POP-UP STORE」,assets/images/KR-MER-0580.webp,Crossroad封口图片工程,https://www.animate-onlineshop.jp/sphone/pn/%E3%80%90%E3%82%B0%E3%83%83%E3%82%BA-%E3%82%AD%E3%83%BC%E3%83%9B%E3%83%AB%E3%83%80%E3%83%BC%E3%80%91%E3%81%82%E3%82%93%E3%81%95%E3%82%93%E3%81%B6%E3%82%8B%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA%EF%BC%81%EF%BC%81%20%E8%BF%BD%E6%86%B6%E3%82%BB%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%8E%E3%82%AF%E3%83%AD%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%89%E3%80%8F%20%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB%E3%82%AD%E3%83%BC%E3%83%9B%E3%83%AB%E3%83%80%E3%83%BC2.5%20%E9%AC%BC%E9%BE%8D%20%E7%B4%85%E9%83%8E%28%E3%83%87%E3%83%83%E3%83%89%E3%83%9E%E3%83%B3%E3%82%BA%E8%A1%A3%E8%A3%85ver.%29/pd/3083636/,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0583,本地,鬼龍紅郎 「あんさんぶるスターズ!! 追憶セレクション『クロスロード』 ミニクリアフラットポーチ」,assets/images/KR-MER-0583.webp,Crossroad封口图片工程,https://www.hobbystock.jp/item/view/hso-ccg-00015231,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0584,本地,鬼龍紅郎 「あんさんぶるスターズ!! 追憶セレクション『クロスロード』 ネーム＆ビジュアルクロスポスター」,assets/images/KR-MER-0584.webp,Crossroad封口图片工程,https://www.hobbystock.jp/item/view/hso-ccg-00015265,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0686,外链,鬼龍紅郎 「あんさんぶるスターズ!! DECOPAD vol.4」,"https://baseec-img-mng.akamaized.net/images/item/origin/3b1de3172ca576d1dbdb64e5ce21d61d.jpg?imformat=generic&q=90&im=Resize,width=640,type=normal",アルジャーノンプロダクト官方商品主图,"https://baseec-img-mng.akamaized.net/images/item/origin/3b1de3172ca576d1dbdb64e5ce21d61d.jpg?imformat=generic&q=90&im=Resize,width=640,type=normal",保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0689,外链,一筆箋 紅月 「あんさんぶるスターズ!」,https://img.amiami.jp/images/product/main/153/GOODS-00041915.jpg,AmiAmi/amie 紅月官方完整商品图,https://img.amiami.jp/images/product/main/153/GOODS-00041915.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0690,本地,モバイルポーチ 紅月 「あんさんぶるスターズ!」,assets/images/KR-MER-0690.webp,AmiAmi/amie紅月官方商品主图,https://img.amiami.jp/images/product/main/153/GOODS-00041961.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0691,外链,ハードカバー一筆箋 紅月 「あんさんぶるスターズ!」,https://img.amiami.jp/images/product/main/154/GOODS-00062941.jpg,AmiAmi官方紅月完整商品图,https://img.amiami.jp/images/product/main/154/GOODS-00062941.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0692,外链,ビン入りこんぺいとう 紅月 「あんさんぶるスターズ!」,https://img.amiami.jp/images/product/main/162/GOODS-00091285.jpg,AmiAmi Unit商品主图,https://img.amiami.jp/images/product/main/162/GOODS-00091285.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0693,外链,スターキーホルダー 紅月 「あんさんぶるスターズ!」,https://img.amiami.jp/images/product/main/153/GOODS-00041969.jpg,AmiAmi官方完整商品图,https://img.amiami.jp/images/product/main/153/GOODS-00041969.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0694,外链,着ぐるみバッジスペシャルセット G 「あんさんぶるスターズ!」,https://img.amiami.jp/images/product/review/173/GOODS-00174808_02.jpg,AmiAmi官方正式整套商品图（review gallery）,https://img.amiami.jp/images/product/review/173/GOODS-00174808_02.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0730,外链,鬼龍紅郎 Ani-Art 1ポケットパスケース vol.2 「あんさんぶるスターズ!」,https://cdn.amnibus.com/upload/save_image/0413210146_5e9454aa64e84.jpg,AMNIBUS官方商品主图,https://cdn.amnibus.com/upload/save_image/0413210146_5e9454aa64e84.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0825,本地,鬼龍紅郎 アイドルアクリルスタンド 10th Tour Edition 「あんさんぶるスターズ!! DREAM LIVE Tour -10th ALL STARS!!-」,assets/images/KR-MER-0825.webp,pattythree官方鬼龍紅郎商品变体原图,https://pattythree-shop-product.jp/cdn/shop/files/1_c73923c4-d43c-46ec-a0e2-01b1b64af481.png?v=1779848401&width=1445,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0901,本地,鬼龍紅郎 「あんさんぶるスターズ!! P.A.shots!! Vol.7 Private」,assets/images/KR-MER-0901.webp,pattythree官方阵容图裁切,https://pattythree-shop-product.jp/products/pt-003699s,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0902,本地,鬼龍紅郎 「あんさんぶるスターズ!! P.A.shots!! Vol.7 Action」,assets/images/KR-MER-0902.webp,pattythree官方阵容图裁切,https://pattythree-shop-product.jp/products/pt-003700s,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0905,本地,鬼龍紅郎 「あんさんぶるスターズ!! P.A.shots!! Extra -SELECTION 10 UNIT SONG-」,assets/images/KR-MER-0905.webp,pattythree官方阵容图裁切,https://pattythree-shop-product.jp/products/pt-003622s,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0910,本地,鬼龍 紅郎 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 アクリルバッジ vol.1」,assets/images/KR-MER-0910.webp,Crossroad封口图片工程,https://www.hobbystock.jp/item/view/hso-ccg-00015192,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0911,本地,鬼龍 紅郎 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 アクリルバッジ vol.2」,assets/images/KR-MER-0911.webp,Crossroad封口图片工程,https://www.hobbystock.jp/item/view/hso-ccg-00015211,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0912,本地,鬼龍 紅郎 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 お出かけスティック」,assets/images/KR-MER-0912.webp,Crossroad封口图片工程,https://www.hobbystock.jp/item/view/hso-ccg-00015175,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0913,本地,鬼龍 紅郎(デッドマンズ衣装ver.) 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 トレーディングハート型缶バッジ」,assets/images/KR-MER-0913.webp,Crossroad封口图片工程,https://www.hobbystock.jp/item/view/hso-ccg-00015158,撤图,官方商品裁切仅205×205，详情页放大明显模糊，撤出展示层，待更高清官方样品图
KR-MER-0914,本地,鬼龍 紅郎(紅月衣装ver.) 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 トレーディングハート型缶バッジ」,assets/images/KR-MER-0914.webp,Crossroad封口图片工程,https://www.hobbystock.jp/item/view/hso-ccg-00015158,撤图,官方商品裁切仅195×210，详情页放大明显模糊，撤出展示层，待更高清官方样品图
KR-MER-0915,本地,鬼龍 紅郎(デッドマンズ衣装ver.) 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 トレーディングオーロラアクリルキーホルダー」,assets/images/KR-MER-0915.webp,Crossroad封口图片工程,https://www.hobbystock.jp/item/view/hso-ccg-00015161,撤图,官方商品裁切仅200×245，详情页放大明显模糊，撤出展示层，待更高清官方样品图
KR-MER-0916,本地,鬼龍 紅郎(紅月衣装ver.) 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 トレーディングオーロラアクリルキーホルダー」,assets/images/KR-MER-0916.webp,Crossroad封口图片工程,https://www.hobbystock.jp/item/view/hso-ccg-00015161,撤图,官方商品裁切仅205×250，详情页放大明显模糊，撤出展示层，待更高清官方样品图
KR-MER-0953,外链,鬼龍紅郎 Ani-Art 1ポケットパスケース 「あんさんぶるスターズ!」,https://cdn.amnibus.com/upload/save_image/1003183828_5d95c194df280.jpg,AMNIBUS官方商品主图,https://cdn.amnibus.com/upload/save_image/1003183828_5d95c194df280.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
