index,ID,商品名,中文名,厂商,本轮状态,官图URL/官方页URL,备注
29,KR-MER-0196,鬼龍紅郎 「あんさんぶるスターズ! ビジュアル色紙コレクション3」,视觉色纸 Collection 3,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/category/ensemble-stars/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
30,KR-MER-0198,鬼龍紅郎 「あんさんぶるスターズ! ビジュアル色紙コレクション8」,视觉色纸 Collection 8,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/category/ensemble-stars/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
31,KR-MER-0205,鬼龍紅郎 「あんさんぶるスターズ!! ビジュアル色紙コレクション2」,!!视觉色纸 Collection 2,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/category/ensemble-stars/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
32,KR-MER-0214,鬼龍紅郎 「あんさんぶるスターズ!! ビジュアル色紙コレクション8」,!!视觉色纸 Collection 8,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/category/ensemble-stars/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
33,KR-MER-0617,鬼龍紅郎 「あんさんぶるスターズ! ビジュアル色紙コレクション5」,视觉色纸 Collection 5,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/category/ensemble-stars/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
34,KR-MER-0636,鬼龍紅郎 「あんさんぶるスターズ! ビジュアル色紙コレクション15」,视觉色纸 Collection 15,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/category/ensemble-stars/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
35,KR-MER-0018,鬼龍紅郎 「あんさんぶるスターズ! 生ブロマイドコレクション4」,生写 Collection 4,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/1809/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作生ブロマイド商品线锚点；除Collection 2外不作精确页。）
36,KR-MER-0020,鬼龍紅郎 「あんさんぶるスターズ! 生ブロマイドコレクション5」,生写 Collection 5,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/1809/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作生ブロマイド商品线锚点；除Collection 2外不作精确页。）
37,KR-MER-0199,鬼龍紅郎 「あんさんぶるスターズ! 生ブロマイドコレクション3」,生写 Collection 3,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/1809/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作生ブロマイド商品线锚点；除Collection 2外不作精确页。）
38,KR-MER-0528,鬼龍紅郎 「あんさんぶるスターズ! 生ブロマイドコレクション」,生ブロマイド Collection 初代,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/1809/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作生ブロマイド商品线锚点；除Collection 2外不作精确页。）
39,KR-MER-0529,鬼龍紅郎 「あんさんぶるスターズ! 生ブロマイドコレクション2」,生ブロマイド Collection 2,エンスカイ,可下载官图,https://news.ensky.co.jp/wp-content/uploads/2022/10/agf2016-namabro-enst.jpg,Ensky官方NEWS精确命中生ブロマイドコレクション2；官方商品图可下载。商品页：https://news.ensky.co.jp/1809/
40,KR-MER-0530,鬼龍紅郎 「あんさんぶるスターズ! 生ブロマイドコレクション6」,生ブロマイド Collection 6,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/1809/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作生ブロマイド商品线锚点；除Collection 2外不作精确页。）
41,KR-MER-0531,鬼龍紅郎 「あんさんぶるスターズ! 生ブロマイドコレクション7」,生ブロマイド Collection 7,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/1809/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作生ブロマイド商品线锚点；除Collection 2外不作精确页。）
42,KR-MER-0532,鬼龍紅郎 「あんさんぶるスターズ! 生ブロマイドコレクション8」,生ブロマイド Collection 8,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/1809/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作生ブロマイド商品线锚点；除Collection 2外不作精确页。）
43,KR-MER-0151,鬼龍紅郎 「あんさんぶるスターズ! ロングカンバッジコレクション6」,Long Can Badge Collection 6,エンスカイ,可下载官图,https://news.ensky.co.jp/wp-content/uploads/2022/10/ensemble-stars-6.png,Ensky官方NEWS精确命中Long Can Badge第6弾；官方阵容图可下载。商品页：https://news.ensky.co.jp/1850/
44,KR-MER-0154,鬼龍紅郎 「あんさんぶるスターズ! ロングカンバッジコレクション8」,Long Can Badge Collection 8,エンスカイ,官页定位待原图,https://news.ensky.co.jp/2477/,Ensky官方NEWS精确页已定位到第8弾；未拿零售/二手图补位，目标原图待后续回收。
45,KR-MER-0845,鬼龍紅郎 「あんさんぶるスターズ! ロングカンバッジコレクション9」,Long Can Badge Collection 9 Kuro,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/1850/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作Long Can Badge商品线锚点；除第6弾外不作精确页。）
46,KR-MER-0329,鬼龍紅郎 「あんさんぶるスターズ! やわらかクリアストラップL コレクションズ3＜B＞」,柔软透明大挂件 Collections 3,エンスカイ,官页定位待原图,https://news.ensky.co.jp/786/,Ensky官方NEWS精确商品线/版本页已定位；目标B组原图待后续回收。
47,KR-MER-0839,鬼龍紅郎 「あんさんぶるスターズ! やわらかクリアストラップLコレクションズ2：3年生!」,Soft Clear Strap L Collections 2 Third Years,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/786/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL用于确认该商品线；非Collections 3＜B＞条目不作精确页。）
48,KR-MER-0840,鬼龍紅郎 「あんさんぶるスターズ! やわらかクリアストラップLコレクションズ/3年生!」,Soft Clear Strap L Collections Third Years Initial,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/786/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL用于确认该商品线；非Collections 3＜B＞条目不作精确页。）
49,KR-MER-0296,鬼龍紅郎 ビッグおまんじゅうクッションvol.5 「あんさんぶるスターズ!」,Big小馒头抱枕 vol.5,エンスカイ,官页定位待原图,https://news.ensky.co.jp/1483/,Ensky官方NEWS精确命中vol.5，官方文字阵容含鬼龍紅郎；原图待后续回收。
