ID,商品名,中文名,厂商,本轮状态,官图URL/官方页URL,备注
KR-MER-0212,鬼龍紅郎 「あんさんぶるスターズ!! P.A.shots!! Extra -夢ノ咲Memorial- Private」,P.A.shots!! 梦之咲Memorial Private,pattythree,可下载官图,https://pattythree-shop-product.jp/collections/pashots,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0213,鬼龍紅郎 「あんさんぶるスターズ!! P.A.shots!! Extra -夢ノ咲Memorial- Action」,P.A.shots!! 梦之咲Memorial Action,pattythree,可下载官图,https://pattythree-shop-product.jp/collections/pashots,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0215,鬼龍紅郎 「あんさんぶるスターズ!! gracolle P.A.shots!! ALBUM SERIES TRIP」,TRIP gracolle P.A.shots!!,pattythree,可下载官图,https://pattythree-shop-product.jp/collections/pashots,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0216,鬼龍紅郎 「あんさんぶるスターズ!! gracolle P.A.shots!! ES 9th Anniversary」,9周年 gracolle P.A.shots!!,pattythree,可下载官图,https://pattythree-shop-product.jp/collections/pashots,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0249,鬼龍紅郎 ES 8th Anniv. miniアイドルチャーム 「あんさんぶるスターズ!!」,8周年 mini Idol Charm,pattythree,可下载官图,https://pattythree-shop-product.jp/cdn/shop/products/1_b20e2f34-d989-4c2e-9612-80631bcddb9c.jpg?v=1703578681&width=1946,Pattythree官方角色变体图已精确定位到鬼龍紅郎。
KR-MER-0255,鬼龍紅郎 SPOTLIGHT アクリルスタンド 「あんさんぶるスターズ!!」,SPOTLIGHT 亚克力立牌,pattythree,可下载官图,https://pattythree-shop-product.jp/cdn/shop/products/1_0188a6e3-e441-4b6d-9003-0015a82a852a.jpg?v=1710123925&width=1946,Pattythree官方Rhythm Link角色变体图已精确定位到鬼龍紅郎。
KR-MER-0257,鬼龍紅郎 コスチュームアクリルスタンド★★★ 「あんさんぶるスターズ!!」,Costume Acrylic Stand ★★★,pattythree,官页定位待原图,,本轮已扫｜Pattythree官方精确商品页/商品线已定位；目标官图像素待回收，先进入尾池。
KR-MER-0258,鬼龍紅郎 「あんさんぶるスターズ!!×UMAJO Ensemble Weekend Party～俺たちと過ごす、とっておきの週末!～ アクリルスタンドC」,UMAJO Weekend Party 亚克力立牌 C,pattythree,本轮未命中可靠官页,,本轮已扫｜未命中足够可靠的目标官页；不拿零售/二手图顶替，进入官源尾池。
KR-MER-0275,鬼龍紅郎 ちょいおきアクリルコンパクトフィギュア SPOTLIGHT ver. 「あんさんぶるスターズ!!」,SPOTLIGHT ちょいおき亚克力Compact Figure,pattythree,本轮未命中可靠官页,,检索到SPOTLIGHT后续商品线，但没有命中母表这条2024目标的可靠精确官页，暂不替换。
KR-MER-0290,鬼龍紅郎 一緒に暮らすぬい(ぬいぐるみ) 「あんさんぶるスターズ!!」,一起生活毛绒,pattythree,可下载官图,https://pattythree-shop-product.jp/cdn/shop/files/1_375f6eea-7a5c-4852-955a-b55cce06fc5b.png?v=1709529639&width=1946,Pattythree官方角色变体图已精确定位到鬼龍紅郎。
KR-MER-0355,鬼龍紅郎 ES 9th Anniv. フラグメントキーホルダー FLARE 「あんさんぶるスターズ!!」,9周年 Fragment Keyholder FLARE,pattythree,可下载官图,https://pattythree-shop-product.jp/cdn/shop/files/1_439456c1-55a3-4c7d-9279-049c3867bb9d.png?v=1736324031&width=1946,Pattythree官方FLARE角色变体图已精确定位到鬼龍紅郎。
KR-MER-0391,鬼龍紅郎 「あんさんぶるスターズ!! フィーチャースカウト2缶バッジ[2022 SUMMER]-Idol Side-」,Feature Scout2 2022 SUMMER Idol,pattythree,名称年份冲突待核,,母表写“2022 SUMMER”，本轮官页检索命中的是2023 SUMMER线，年份不一致，禁止直接套图。
KR-MER-0392,鬼龍紅郎 「あんさんぶるスターズ!! フィーチャースカウト2缶バッジ[2022 SUMMER]-Casual Side-」,Feature Scout2 2022 SUMMER Casual,pattythree,名称年份冲突待核,,母表写“2022 SUMMER”，本轮官页检索命中的是2023 SUMMER线，年份不一致，禁止直接套图。
KR-MER-0393,鬼龍紅郎 「あんさんぶるスターズ!! フィーチャースカウト2缶バッジ[2023 AUTUMN]-Casual Side-」,Feature Scout2 2023 AUTUMN Casual,pattythree,可下载官图,https://pattythree-shop-product.jp/products/pt-000534s,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0394,鬼龍紅郎 「あんさんぶるスターズ!! コレクション缶バッジ[2024 Oct.]-Casual Side-」,Collection 2024 Oct. Casual,pattythree,可下载官图,https://pattythree-shop-product.jp/cdn/shop/files/1_9689cf48-496d-41a1-8cd5-f0b07edb02e9.png?v=1729058956&width=1946,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0395,鬼龍紅郎 「あんさんぶるスターズ!! コレクション缶バッジ[2025 May]-Casual Side-」,Collection 2025 May Casual,pattythree,可下载官图,https://pattythree-shop-product.jp/cdn/shop/files/1_06a0ebbf-4bf7-4eb7-b59a-7355ce83ddb6.png?v=1747375272&width=1946,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0396,鬼龍紅郎 ES 9th Anniv. フラグメントアクリルスタンド FLARE 「あんさんぶるスターズ!!」,9周年 Fragment Acrylic Stand FLARE,pattythree,官页定位待原图,,本轮已扫｜Pattythree官方精确商品页/商品线已定位；目标官图像素待回收，先进入尾池。
KR-MER-0403,鬼龍紅郎 「あんさんぶるスターズ!! gracolle CANBA!! ALBUM SERIES TRIP box A」,TRIP gracolle CANBA!! box A,pattythree,官页定位待原图,,本轮已扫｜Pattythree官方精确商品页/商品线已定位；目标官图像素待回收，先进入尾池。
KR-MER-0441,鬼龍紅郎 「あんさんぶるスターズ!! コレクション缶バッジ[2026 Jun.]-Idol Side-」,Collection 2026 Jun. Idol Side,pattythree,可下载官图,https://pattythree-shop-product.jp/cdn/shop/files/a797b2d1-b0b3-4ad9-91b5-9e51f6b97769.png?v=1782105958&width=1946,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0442,鬼龍紅郎 「あんさんぶるスターズ!! コレクション缶バッジ[2026 Jun.]-Casual Side-」,Collection 2026 Jun. Casual Side,pattythree,可下载官图,https://pattythree-shop-product.jp/cdn/shop/files/c8ab2c06-62b8-41dd-94d8-5a8106f806e6.png?v=1782105956&width=1946,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0487,鬼龍紅郎 「あんさんぶるスターズ!! フィーチャースカウト2缶バッジ[2024 SPRING]-Casual Side-」,Feature Scout2 2024 SPRING Casual,pattythree,官方系列确认待精确页,,已确认Feature Scout2 2024 SPRING官方系列，但Casual Side精确页/目标像素本轮未锁定。
KR-MER-0489,鬼龍紅郎 「あんさんぶるスターズ!! テーマスカウト缶バッジ [2022 WINTER]-Casual Side-」,Theme Scout 2022 WINTER Casual,pattythree,本轮未命中可靠官页,,本轮已扫｜未命中足够可靠的目标官页；不拿零售/二手图顶替，进入官源尾池。
KR-MER-0543,鬼龍紅郎(紅月ver.) 「あんさんぶるスターズ!! 追憶セレクション『クロスロード』 クリアトレカコレクション」,Crossroad Clear Trading Card 红月ver.,pattythree,本轮未命中可靠官页,,本轮已扫｜未命中足够可靠的目标官页；不拿零售/二手图顶替，进入官源尾池。
KR-MER-0544,鬼龍紅郎(デッドマンズver.) 「あんさんぶるスターズ!! 追憶セレクション『クロスロード』 クリアトレカコレクション」,Crossroad 2024 Clear Trading Card Deadmans,pattythree,本轮未命中可靠官页,,本轮已扫｜未命中足够可靠的目标官页；不拿零售/二手图顶替，进入官源尾池。
KR-MER-0643,鬼龍紅郎 「あんさんぶるスターズ!! コレクション缶バッジ［2025 Aug.］-Casual Side-」,Collection 2025 Aug. Casual,pattythree,可下载官图,https://pattythree-shop-product.jp/products/pt-002158s,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0674,鬼龍紅郎 「あんさんぶるスターズ!! Bright me up!! コレクション缶バッジ[2025Aug.]-Idol Side-」,Collection 2025 Aug. Idol,pattythree,可下载官图,https://pattythree-shop-product.jp/collections/collectionbadge-2025-aug,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0679,鬼龍紅郎 「あんさんぶるスターズ!!×UMAJO Ensemble Weekend Party～俺たちと過ごす、とっておきの週末!～ ジョッキースタイル缶バッジC」,UMAJO Mug-style Badge C,pattythree,本轮未命中可靠官页,,本轮已扫｜未命中足够可靠的目标官页；不拿零售/二手图顶替，进入官源尾池。
KR-MER-0851,鬼龍紅郎 「あんさんぶるスターズ!!×京まふ ミニキャラアクリルスタンドB」,Kyomaf Mini Character Acrylic Stand B,pattythree,可下载官图,https://pattythree-shop-product.jp/cdn/shop/files/1_c480ee51-c5a0-4172-8f8d-d36623ef7670.jpg?v=1690520153&width=1946,Pattythree官方京まふB组商品POP；紅月在该官方阵容内，本地化时再裁鬼龍紅郎。
KR-MER-0917,鬼龍紅郎(制服ver.) 「あんさんぶるスターズ!! 追憶セレクション『クロスロード』 クリアトレカコレクション」,Crossroad Clear Trading Card 制服ver.,pattythree,本轮未命中可靠官页,,本轮已扫｜未命中足够可靠的目标官页；不拿零售/二手图顶替，进入官源尾池。
KR-MER-0043,鬼龍紅郎 「もちもちマスコットミニ あんさんぶるスターズ!! vol.6」,もちもち小毛绒 vol.6,エスケイジャパン,可下载官图,https://www.sk-japan.co.jp/mochimochi/archive/2301273,SK JAPAN官方商品页主图；为官方完整阵容图，本地化时再定位/裁鬼龍紅郎。
KR-MER-0046,鬼龍紅郎 もちもちマスコットピロー vol.3 「あんさんぶるスターズ!!」,もちもち长抱枕 vol.3,エスケイジャパン,官方系列确认待精确页,https://www.sk-japan.co.jp/mochimochi/archive,SK JAPAN官方归档可确认もちもちマスコットピロー vol.3系列；目标单品原图待精确回收。
KR-MER-0119,鬼龍紅郎 「あんさんぶるスターズ!! もちもちマスコット vol.6」,もちもちマスコット vol.6,エスケイジャパン,官方系列确认待精确页,https://www.sk-japan.co.jp/mochimochi/archive,SK JAPAN官方归档可确认2022年もちもちマスコット vol.6；目标精确页/原图待回收。
KR-MER-0126,鬼龍紅郎 「あんさんぶるスターズ!! もちもちマスコットPS vol.9」,もちもちマスコットPS vol.9,エスケイジャパン,官方系列确认待精确页,https://www.sk-japan.co.jp/mochimochi/archive,SK JAPAN官方归档可确认もちもちマスコットPS vol.9；目标精确页/原图待回收。
KR-MER-0289,鬼龍紅郎 「ふわすやマスコット あんさんぶるスターズ!! vol.4」,ふわすや包裹系毛绒 vol.4,エスケイジャパン,本轮未命中可靠官页,,本轮已扫｜未命中足够可靠的目标官页；不拿零售/二手图顶替，进入官源尾池。
