周边ID,中文简记,正式商品名,厂商/渠道,清理判定,判定理由,处理动作,清理前图片状态,清理前本地图,清理前Fallback,图片来源说明,图片来源URL,图片类型
KR-MER-0012,文件夹 Collection vol.2 B,3.鬼龍紅郎 「あんさんぶるスターズ クリアファイルコレクション vol.2 B」,ムービック,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/994943611.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/994943611.jpg.webp,档案单品原图
KR-MER-0013,Animate Cafe 长条亚克力挂件,鬼龍紅郎 スティックアクリルキーホルダー 「あんさんぶるスターズ!×animatecafe」,アニメイト,非官图已撤,非官方图片来源：www.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0013.webp,https://www.suruga-ya.jp/database/pics/game/608533084.jpg,駿河屋角色单品档案原图,https://www.suruga-ya.jp/database/pics/game/608533084.jpg,档案单品原图
KR-MER-0014,AGF2017 回忆篇三角旗挂件,鬼龍紅郎 「あんさんぶるスターズ! ガーランドコレクション メモリアルver. D」 AGF2017,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/608563902.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/608563902.jpg.webp,档案单品原图
KR-MER-0015,视觉色纸 Collection 12,鬼龍紅郎 「あんさんぶるスターズ! ビジュアル色紙コレクション12」,エンスカイ,来源不明已撤,图片来源URL缺失，不能证明为官图,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0015.webp,assets/images/KR-MER-0015.webp,公开真实商品图/旧图鉴迁移,,既有实图
KR-MER-0016,文件夹 Collection vol.4 B,鬼龍紅郎 「あんさんぶるスターズ! クリアファイルコレクション vol.4 B」,ムービック,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/994944613.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/994944613.jpg.webp,档案单品原图
KR-MER-0017,Idol Special Days 徽章 vol.5 B,鬼龍紅郎 「あんさんぶるスターズ! キャラバッジコレクション Idol Special Days vol.5 ver.B」,ムービック,非官图已撤,非官方图片来源：static.mercdn.net,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0017.webp,https://static.mercdn.net/item/detail/orig/photos/m77989231300_1.jpg?1782661762,Mercari红月10枚实物＋B's LOG/KADOKAWA Vol.5 B全12種阵容图＋駿河屋角色直证,https://static.mercdn.net/item/detail/orig/photos/m77989231300_1.jpg?1782661762,精确二手同款套装实物・目标裁切
KR-MER-0018,生写 Collection 4,鬼龍紅郎 「あんさんぶるスターズ! 生ブロマイドコレクション4」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892016471.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892016471.jpg.webp,档案单品原图
KR-MER-0019,Lawson 橡胶挂件 A,鬼龍紅郎 「あんさんぶるスターズ!×ローソン ラバーストラップ Aセット」,ローソン,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0019.webp,https://cdn.suruga-ya.jp/pics_webp/boxart_m/608627323m.jpg.webp,駿河屋角色单品買取档案缩略图,https://cdn.suruga-ya.jp/pics_webp/boxart_m/608627323m.jpg.webp,档案缩略图・待大图升级
KR-MER-0020,生写 Collection 5,鬼龍紅郎 「あんさんぶるスターズ! 生ブロマイドコレクション5」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892021413.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892021413.jpg.webp,档案单品原图
KR-MER-0021,i+ 联动亚克力挂件 A,鬼龍紅郎 「あんさんぶるスターズ!×アイプラス コラボ記念コレクションアクリルキーホルダー A」,ナタリーストア,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/508657163.jpg.webp,駿河屋角色单品档案原图＋ナタリーストア公式仕様,https://cdn.suruga-ya.jp/database/pics_webp/game/508657163.jpg.webp,档案单品原图
KR-MER-0022,视觉色纸 Collection 20,鬼龍紅郎 「あんさんぶるスターズ! ビジュアル色紙コレクション20」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0022.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/860011850.jpg.webp,档案单品原图
KR-MER-0023,Idol Special Days 徽章 vol.7 B,鬼龍紅郎 「あんさんぶるスターズ! キャラバッジコレクション Idol Special Days Vol.7 ver.B」,ムービック,非官图已撤,非官方图片来源：static.mercdn.net,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0023.webp,https://static.mercdn.net/item/detail/orig/photos/m20173631518_1.jpg?1777482447,Mercari鬼龍紅郎Vol.7精确8枚实物＋駿河屋角色直证,https://static.mercdn.net/item/detail/orig/photos/m20173631518_1.jpg?1777482447,精确二手同款多枚实物・单枚裁切
KR-MER-0024,回忆篇 小馒头捏捏毛绒 vol.2,鬼龍紅郎 「あんさんぶるスターズ! おまんじゅうにぎにぎマスコット追憶編vol.2」,エンスカイ,非官图已撤,非官方图片来源：assets.mercari-shops-static.com,从网页展示层撤下；不补图,实图已入库,,https://assets.mercari-shops-static.com/-/large/plain/nVp5TTt3mgZnQJkFUVEWL7.webp%40jpg,駿河屋メルカリShops精确角色实物图,https://assets.mercari-shops-static.com/-/large/plain/nVp5TTt3mgZnQJkFUVEWL7.webp%40jpg,角色实物图
KR-MER-0025,AGF2019 角色徽章,鬼龍紅郎 「あんさんぶるスターズ! キャラ缶バッジコレクション」 AGF2019,ムービック,来源不明已撤,图片来源URL缺失，不能证明为官图,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0025.webp,assets/images/KR-MER-0025.webp,公开真实商品图/旧图鉴迁移,,既有实图
KR-MER-0026,AGF2019 带透明壳肖像,鬼龍紅郎 「あんさんぶるスターズ! クリアケース付きポートレートコレクション」 AGF2019,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/883009773.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/883009773.jpg.webp,档案单品原图
KR-MER-0027,签名橡胶挂件 第四弹,鬼龍紅郎 「あんさんぶるスターズ! サインラバーストラップ 第四弾」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/pics_webp/boxart_m/608845578m.jpg.webp,駿河屋角色档案缩略原图＋AmiAmi官方Family,https://cdn.suruga-ya.jp/pics_webp/boxart_m/608845578m.jpg.webp,档案角色缩略原图
KR-MER-0028,红月 A4文件夹,鬼龍紅郎 A4クリアファイル 紅月 「あんさんぶるスターズ!!」,ムービック,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/994970989.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/994970989.jpg.webp,档案单品原图
KR-MER-0029,南梦宫主题乐园 亚克力立牌,鬼龍紅郎 アクリルスタンド 「あんさんぶるスターズ! in ナンジャタウン ～さがして!みつけて!かくれんぼ～」,バンダイナムコアミューズメント,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/608894180.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/608894180.jpg.webp,档案单品原图
KR-MER-0030,换装毛绒用红郎单位服 Vol.2,鬼龍紅郎 夢ノ咲学院購買部 着せ替えぬいぐるみ用ユニット衣装 Vol.2,バンダイナムコアーツ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/646119797.jpg.webp,駿河屋鬼龍紅郎角色衣装单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/646119797.jpg.webp,档案单品原图
KR-MER-0031,文件夹 Collection Vol.9 B,鬼龍紅郎 「あんさんぶるスターズ! クリアファイルコレクション Vol.9 B」,ムービック,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/994970734.jpg.webp,駿河屋角色单品档案主图URL,https://cdn.suruga-ya.jp/database/pics_webp/game/994970734.jpg.webp,档案单品主图
KR-MER-0032,Q版橡胶挂件 D,鬼龍紅郎 「あんさんぶるスターズ! デフォルメトレーディングラバーストラップD」,フロンティアワークス,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/608870954.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/608870954.jpg.webp,档案单品原图
KR-MER-0033,Lawson 方形徽章 C,鬼龍紅郎 「あんさんぶるスターズ!!×ローソン スクエアバッジC」,ローソン,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871736022.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871736022.jpg.webp,档案单品原图
KR-MER-0034,2015 Scout 纪念横幅亚克力徽章,鬼龍紅郎 「あんさんぶるスターズ! メモリアルバナーコレクション スカウト!ver. 2015」,ムービック,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0034.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/871029966.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871029966.jpg.webp,档案单品原图
KR-MER-0035,亚克力杯垫 C,鬼龍紅郎 「アクリルコースター あんさんぶるスターズ! C」,ハセ・プロ／バンダイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/pics_webp/boxart_m/992085547m.jpg.webp,駿河屋角色档案图,https://cdn.suruga-ya.jp/pics_webp/boxart_m/992085547m.jpg.webp,档案角色缩略原图
KR-MER-0036,Pitatto 钥匙扣 Ver.2,あんさんぶるスターズ！！ Pitattoキーホルダー Ver.2 鬼龍紅郎,amie,非官图已撤,非官方图片来源：www.hobbystock.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0036.webp,,HobbyStock角色商品主图＋駿河屋角色单品档案,https://www.hobbystock.jp/item/view/hby-otm-00059041,商品主图
KR-MER-0037,Pikuria Collection Vol.1 普通版,鬼龍紅郎(ノーマル) 「あんさんぶるスターズ!! ぴくりあコレクション Vol.1」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892062695.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892062695.jpg.webp,档案单品原图
KR-MER-0038,Roll-on Fragrance 2022 Kuro,鬼龍紅郎 ロールオンフレグランス(オードトワレ/2022版) 「あんさんぶるスターズ!! アニメイトオンリーショップ2022 feat.あんスタグッズおはなし団」,ムービック,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0038.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/869006423.jpg.webp,駿河屋鬼龍紅郎角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/869006423.jpg.webp,档案单品原图
KR-MER-0039,Bukubu 联动徽章,鬼龍紅郎 「あんさんぶるスターズ!!×大川ぶくぶ先生 あんさんぶくぶスターズ!」缶バッジ,イクリエ,非官图已撤,非官方图片来源：static.mercdn.net,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0039.webp,https://static.mercdn.net/item/detail/orig/photos/m10342658504_1.jpg?1711039896,Mercari鬼龍紅郎精确ぶくスタ缶バッジvol.2实物＋駿河屋AGF2022角色直证,https://static.mercdn.net/item/detail/orig/photos/m10342658504_1.jpg?1711039896,精确二手角色单品实物・目标裁切
KR-MER-0040,中国限定 5周年纪念SNS风卡,鬼龍紅郎 「偶像夢幻祭2 2周年ポップアップストア 5周年記念SNS風カード」 中国限定,中国官方渠道,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892107888.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892107888.jpg.webp,档案单品原图
KR-MER-0041,中国限定 独奏徽章 C组,鬼龍紅郎 「偶像夢幻祭2 2周年ポップアップストア 独奏缶バッジ Cグループ」 中国限定,中国官方渠道,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871171428.jpg.webp,駿河屋鬼龍紅郎角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871171428.jpg.webp,档案单品原图
KR-MER-0042,ES偶像文件夹 vol.1 A,鬼龍紅郎 「あんさんぶるスターズ!! ESアイドルクリアファイル vol.1 A」,トイズ・プランニング,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/994116494.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/994116494.jpg.webp,档案单品原图
KR-MER-0043,もちもち小毛绒 vol.6,鬼龍紅郎 「もちもちマスコットミニ あんさんぶるスターズ!! vol.6」,エスケイジャパン,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/508680944.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/508680944.jpg.webp,档案单品原图
KR-MER-0044,生日Cookie Bear 购买特典亚克力立牌,鬼龍紅郎 アクリルスタンド 「あんさんぶるスターズ!! バースデークッキーベア」 shopサンライズ購入特典,サンライズ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0044.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/508857524.jpg.webp,駿河屋鬼龍紅郎角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/508857524.jpg.webp,档案单品原图
KR-MER-0045,中国限定 巡梦胸针,鬼龍紅郎 巡夢ブローチ 「あんさんぶるスターズ!!」 中国限定,中国官方渠道,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871847133.jpg.webp,駿河屋鬼龍紅郎角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871847133.jpg.webp,档案单品原图
KR-MER-0046,もちもち长抱枕 vol.3,鬼龍紅郎 もちもちマスコットピロー vol.3 「あんさんぶるスターズ!!」,エスケイジャパン,来源不明已撤,图片来源URL缺失，不能证明为官图,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0046.webp,assets/images/KR-MER-0046.webp,公开真实商品图/旧图鉴迁移,,既有实图
KR-MER-0047,Starry Symphony × 卡拉铁 迷你色纸,鬼龍紅郎 「Cast Live Starry Symphony -the dead of night-×カラオケの鉄人 トレーディングミニ色紙」,鉄人化計画,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0047.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/860056503.jpg.webp,档案单品原图
KR-MER-0048,Lawson 电影胶片风BIG透明卡,鬼龍紅郎 「あんさんぶるスターズ!! フィルム風BIGクリアカード」 ローソン・@Loppi・HMV限定,ローソン／HMV,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0048.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/892225880.jpg.webp,駿河屋鬼龍紅郎角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892225880.jpg.webp,档案单品原图
KR-MER-0049,Crossroad 红月服亚克力立牌,鬼龍紅郎(紅月) アクリルスタンド 「あんさんぶるスターズ!! 追憶セレクション『クロスロード』」,pattythree,非官图已撤,非官方图片来源：www.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0049.webp,,Crossroad封口图片工程,https://www.suruga-ya.jp/search?category=&search_word=%E9%AC%BC%E9%BE%8D%E7%B4%85%E9%83%8E+%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89,封口主图
KR-MER-0050,TRIP Rhythm Link 行李牌挂件,鬼龍紅郎 ALBUM SERIES TRIP ラゲッジチャーム(Rhythm Link),Pattythree,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/560548063.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/560548063.jpg.webp,档案单品原图
KR-MER-0051,Crossroad POP-UP 红月服迷你色纸,鬼龍紅郎(紅月衣装ver.) 「追憶セレクション POP-UP STORE クロスロード トレーディングミニ色紙」,カミオジャパン,非官图已撤,非官方图片来源：www.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0051.webp,,Crossroad封口图片工程,https://www.suruga-ya.jp/search?category=&page=5&search_word=%E9%AC%BC%E9%BE%8D%E7%B4%85%E9%83%8E+%E3%82%AB%E3%83%BC%E3%83%89,封口主图
KR-MER-0052,Crossroad POP-UP Deadmans服迷你色纸,鬼龍紅郎(デッドマンズ衣装ver.) 「追憶セレクション POP-UP STORE クロスロード トレーディングミニ色紙」,カミオジャパン,非官图已撤,非官方图片来源：www.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0052.webp,,Crossroad封口图片工程,https://www.suruga-ya.jp/search?category=&page=5&search_word=%E9%AC%BC%E9%BE%8D%E7%B4%85%E9%83%8E+%E3%82%AB%E3%83%BC%E3%83%89,封口主图
KR-MER-0053,Crossroad POP-UP 红月服A4文件夹,鬼龍紅郎(紅月衣装ver.) クロスロード A4シングルクリアファイル,カミオジャパン,非官图已撤,非官方图片来源：www.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0053.webp,,Crossroad封口图片工程,https://www.suruga-ya.jp/search?category=&search_word=%E9%AC%BC%E9%BE%8D%E7%B4%85%E9%83%8E+%E3%82%AF%E3%83%AA%E3%82%A2%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB,封口主图
KR-MER-0054,Crossroad POP-UP Deadmans服A4文件夹,鬼龍紅郎(デッドマンズ衣装ver.) クロスロード A4シングルクリアファイル,カミオジャパン,非官图已撤,非官方图片来源：www.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0054.webp,,Crossroad封口图片工程,https://www.suruga-ya.jp/search?category=&search_word=%E9%AC%BC%E9%BE%8D%E7%B4%85%E9%83%8E+%E3%82%AF%E3%83%AA%E3%82%A2%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB,封口主图
KR-MER-0057,10周年 IDOL SHOWCASE 立牌 A,鬼龍紅郎(A/青春が紡ぐ硬い糸/才能開花後) IDOL SHOWCASE アクリルスタンド＜紅月＞,pattythree,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0057.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/561647319.jpg.webp,档案单品原图
KR-MER-0058,10周年 IDOL SHOWCASE 立牌 B,鬼龍紅郎(B/明日へ繋ぐ瘢痕/才能開花後) IDOL SHOWCASE アクリルスタンド＜紅月＞,pattythree,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0058.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/561647320.jpg.webp,档案单品原图
KR-MER-0059,10周年 IDOL SHOWCASE 立牌 C,鬼龍紅郎(C/在りし日の風来坊/才能開花後) IDOL SHOWCASE アクリルスタンド＜紅月＞,pattythree,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0059.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/561647321.jpg.webp,档案单品原图
KR-MER-0060,10周年 IDOL SHOWCASE 立牌 D,鬼龍紅郎(D/欲望の宝石商/才能開花後) IDOL SHOWCASE アクリルスタンド＜紅月＞,pattythree,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0060.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/561647322.jpg.webp,档案单品原图
KR-MER-0061,10周年 IDOL SHOWCASE 立牌 E,鬼龍紅郎(E/剛勇ドラゴン/才能開花後) IDOL SHOWCASE アクリルスタンド＜紅月＞,pattythree,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0061.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/561647323.jpg.webp,档案单品原图
KR-MER-0062,10周年 SPOTLIGHT SHUFFLE 立牌,鬼龍紅郎 SPOTLIGHT SHUFFLE アクリルスタンド 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,pattythree,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/561647121.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/561647121.jpg.webp,档案单品原图
