ID,商品,分组,状态,图片URL,文件名
KR-MER-0144,鬼龍紅郎 10周年展示会 Bright me up!! gracolle CANBA!! ES 10th Anniversary [グループD],Bright me up!! 官方展览商品,Pattythree官方｜Group D完整阵容图（ALKALOID／紅月，全8种），含鬼龍紅郎；本地化时裁单品,https://pattythree-shop-product.jp/cdn/shop/files/1_dfbc3442-8927-4b10-bc7f-84b83f466c7d.jpg?v=1766052089&width=1946,KR-MER-0144.jpg
KR-MER-0308,鬼龍紅郎(A/青春が紡ぐ硬い糸/才能開花後) IDOL SHOWCASE A4クリアファイル＜紅月＞ 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,Bright me up!! 官方展览商品,Pattythree官方｜鬼龍紅郎 A 精确角色图,https://pattythree-shop-product.jp/cdn/shop/files/1_1fa83a74-add1-4b4d-a62b-8ff33f802225.jpg?v=1766051849&width=1946,KR-MER-0308.jpg
KR-MER-0309,鬼龍紅郎(B/明日へ繋ぐ瘢痕/才能開花後) IDOL SHOWCASE A4クリアファイル＜紅月＞ 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,Bright me up!! 官方展览商品,Pattythree官方｜鬼龍紅郎 B 精确角色图,https://pattythree-shop-product.jp/cdn/shop/files/1_ddea1e27-e88e-4e58-b0b3-e6d871dd6483.jpg?v=1766051849&width=1946,KR-MER-0309.jpg
KR-MER-0310,鬼龍紅郎(C/在りし日の風来坊/才能開花後) IDOL SHOWCASE A4クリアファイル＜紅月＞ 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,Bright me up!! 官方展览商品,Pattythree官方｜鬼龍紅郎 C 精确角色图,https://pattythree-shop-product.jp/cdn/shop/files/1_50a32da8-4b64-4e48-b305-6d138e6de2d5.jpg?v=1766051849&width=1946,KR-MER-0310.jpg
KR-MER-0311,鬼龍紅郎(D/欲望の宝石商/才能開花後) IDOL SHOWCASE A4クリアファイル＜紅月＞ 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,Bright me up!! 官方展览商品,Pattythree官方｜鬼龍紅郎 D 精确角色图,https://pattythree-shop-product.jp/cdn/shop/files/1_de0971df-d605-4bd0-ade9-43478560dcb7.jpg?v=1766051849&width=1946,KR-MER-0311.jpg
KR-MER-0312,鬼龍紅郎(E/剛勇ドラゴン/才能開花後) IDOL SHOWCASE A4クリアファイル＜紅月＞ 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,Bright me up!! 官方展览商品,Pattythree官方｜鬼龍紅郎 E 精确角色图,https://pattythree-shop-product.jp/cdn/shop/files/1_fac8ccc8-6aa5-497b-b748-0024310b8dc1.jpg?v=1766051849&width=1946,KR-MER-0312.jpg
KR-MER-0313,鬼龍紅郎 SPOTLIGHT SHUFFLE A4クリアファイル 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,Bright me up!! 官方展览商品,Pattythree官方｜SPOTLIGHT SHUFFLE 鬼龍紅郎精确角色图,https://pattythree-shop-product.jp/cdn/shop/files/1_5836ba45-0f93-4eb8-9fe2-6887b26845ef.jpg?v=1766052055&width=1946,KR-MER-0313.jpg
KR-MER-0357,鬼龍紅郎 フェスティバルシリーズ バルーンチャーム 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,Bright me up!! 官方展览商品,Pattythree官方｜Festival 鬼龍紅郎精确角色图,https://pattythree-shop-product.jp/cdn/shop/files/1_0fe780bc-e7a5-4645-9543-1e5638778bd4.jpg?v=1778493380&width=1946,KR-MER-0357.jpg
KR-MER-0389,鬼龍紅郎 ケース＆ステッカーセット 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,Bright me up!! 官方展览商品,Pattythree官方｜Case & Sticker Set Rhythm Link 鬼龍紅郎精确角色图,https://pattythree-shop-product.jp/cdn/shop/files/1_83bab408-c9fd-45f6-b4d5-95bf6477d2c9.jpg?v=1779782583&width=1946,KR-MER-0389.jpg
KR-MER-0572,鬼龍紅郎 「あんさんぶるスターズ!!Bright me up!! バナーバッジコレクション クロステーマ ver. Vol.2」,Bright me up!! 官方展览商品,Pattythree官方｜Vol.2完整12款阵容图，已核阵容含鬼龍紅郎；本地化时裁单品,https://pattythree-shop-product.jp/cdn/shop/files/1_a6e857be-6099-4ad5-8684-b5eff879ee1a.jpg?v=1753355026&width=1946,KR-MER-0572.jpg
KR-MER-0260,鬼龍紅郎 「あんさんぶるスターズ!! あんスタ10thフェス×animatecafe 描き起こしビジュアル アクリルスタンドコレクションEグループ」,Animate Cafe 10th Fest / Superbloom,待我恢复,,
KR-MER-0261,鬼龍紅郎 「あんさんぶるスターズ!! あんスタ10thフェス×animatecafe CoLotta vol.6(トレーディングアクリルプレートキーホルダー)3グループ」,Animate Cafe 10th Fest / Superbloom,待我恢复,,
KR-MER-0325,鬼龍紅郎 「あんさんぶるスターズ!! あんスタ10thフェス×animatecafe 描き起こしビジュアル キラキラステッカーコレクションEグループ」,Animate Cafe 10th Fest / Superbloom,待我恢复,,
KR-MER-0862,鬼龍紅郎 「あんさんぶるスターズ!! あんスタ10thフェス×animatecafe 描き起こしビジュアル 缶バッジコレクションEグループ」,Animate Cafe 10th Fest / Superbloom,待我恢复,,
KR-MER-0926,鬼龍紅郎 コースター 「あんさんぶるスターズ!! あんスタ10thフェス×animatecafe」 ドリンク注文特典,Animate Cafe 10th Fest / Superbloom,待我恢复,,
KR-MER-0927,鬼龍紅郎 「Ensemble Stars!! Cast Live Starry Symphony - Superbloom -×animatecafe 描き起こしビジュアル アクリルスタンドコレクション Cグループ」,Animate Cafe 10th Fest / Superbloom,待我恢复,,
KR-MER-0928,鬼龍紅郎 「Ensemble Stars!! Cast Live Starry Symphony - Superbloom -×animatecafe 描き起こしビジュアル 缶バッジコレクション Cグループ」,Animate Cafe 10th Fest / Superbloom,待我恢复,,
KR-MER-0929,鬼龍紅郎 「Ensemble Stars!! Cast Live Starry Symphony - Superbloom -×animatecafe 描き起こしビジュアル シルキーステッカーコレクション Cグループ」,Animate Cafe 10th Fest / Superbloom,待我恢复,,
KR-MER-0930,鬼龍紅郎 「Ensemble Stars!! Cast Live Starry Symphony - Superbloom -×animatecafe チケット型キーホルダーコレクション 3グループ」,Animate Cafe 10th Fest / Superbloom,待我恢复,,
KR-MER-0931,鬼龍紅郎 コースター 「Ensemble Stars!! Cast Live Starry Symphony - Superbloom -×animatecafe」 メニュー注文特典,Animate Cafe 10th Fest / Superbloom,待我恢复,,
KR-MER-0293,鬼龍紅郎 おやすみver. 「もちもちマスコット あんさんぶるスターズ!! vol.13」 アニメイトBOX購入特典,SK JAPAN,待我恢复,,
KR-MER-0294,鬼龍紅郎 おなまえ☆ぬいホルダー vol.7 「あんさんぶるスターズ!!」,SK JAPAN,待我恢复,,
KR-MER-0354,鬼龍紅郎 「あんさんぶるスターズ!! みにコレ!ミニフォトフレームキーチェーン Vol.4」,SK JAPAN,待我恢复,,
KR-MER-0398,鬼龍紅郎 「あんさんぶるスターズ!! みにコレ!前髪クリップ2 vol.7」,SK JAPAN,SK JAPAN官方｜完整阵容图，含鬼龍紅郎；本地化时再裁单品,https://www.sk-japan.co.jp/wp-content/uploads/2026/02/%E3%81%82%E3%82%93%E3%81%95%E3%82%93%E3%81%B6%E3%82%8B%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA_%E3%81%BF%E3%81%AB%E3%82%B3%E3%83%AC%EF%BC%81_%E5%89%8D%E9%AB%AA%E3%82%AF%E3%83%AA%E3%83%83%E3%83%972_vol7_DPPOP_%E3%82%AD%E3%83%A3%E3%83%A9%E3%81%A8%E3%82%8B-scaled.jpg,KR-MER-0398.jpg
KR-MER-0485,鬼龍紅郎 「もちもちマスコット あんさんぶるスターズ!! Vol.13」,SK JAPAN,待我恢复,,
KR-MER-0067,あんさんぶるスターズ！！ Huggy Good Smile 鬼龍紅郎,Good Smile / Algernon,待我恢复,,
KR-MER-0068,鬼龍紅郎 きゃらとりあ アクリルキーホルダー 「あんさんぶるスターズ!!」,Good Smile / Algernon,Algernon Product官方｜きゃらとりあ Acrylic Keyholder 官方阵容POP（鬼龍紅郎在阵容内，待裁）,https://algernonproduct.co.jp/wp-content/uploads/2026/04/%E3%81%82%E3%82%93%E3%81%95%E3%82%93%E3%81%B6%E3%82%8B%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA_%E3%82%AD%E3%83%A3%E3%83%A9%E3%81%A8%E3%82%8A%E3%81%82_%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB%E3%82%AD%E3%83%BC%E3%83%9B%E3%83%AB%E3%83%80%E3%83%BC%E6%A1%88%E5%86%85POP-scaled.jpg,KR-MER-0068.jpg
KR-MER-0486,鬼龍紅郎 「あんさんぶるスターズ!! おなまえぴたんコ ラバーマスコット Vol.7」,Good Smile / Algernon,Algernon Product官方｜おなまえぴたんコ vol.7 官方阵容POP（鬼龍紅郎明确在红月阵容，待裁）,https://algernonproduct.co.jp/wp-content/uploads/2026/01/%E3%81%82%E3%82%93%E3%81%95%E3%82%93%E3%81%B6%E3%82%8B%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA_%E3%81%8A%E3%81%AA%E3%81%BE%E3%81%88%E3%81%B4%E3%81%9F%E3%82%93%E3%82%B3Vol.7-POP-1024x724.jpg,KR-MER-0486.jpg
KR-MER-0147,鬼龍紅郎 「あんさんぶくぶスターズ!! グリッター缶バッジコレクション vol.4」,amie / AmiAmi,待我恢复,,
KR-MER-0397,鬼龍紅郎 「あんさんぶるスターズ!! スターキーホルダーコレクションSparkle Vol.7」,amie / AmiAmi,待我恢复,,
KR-MER-0445,鬼龍紅郎 「あんさんぶるスターズ!! ジュエリープレートコレクション vol.4」,amie / AmiAmi,待我恢复,,
KR-MER-0559,鬼龍紅郎 「あんさんぶるスターズ!! ぴくりあコレクションPremium Vol.4」,amie / AmiAmi,待我恢复,,
KR-MER-0217,鬼龍紅郎 「あんさんぶるスターズ!! アルカナカードコレクション3」,Ensky,待我恢复,,
KR-MER-0222,SP.72[スペシャルカード]：鬼龍紅郎 「あんさんぶるスターズ!! クリアカードコレクションガム4」,Ensky,待我恢复,,
KR-MER-0374,鬼龍紅郎 ビジュアルバスタオル vol.6 「あんさんぶるスターズ!!」,Ensky,待我恢复,,
KR-MER-0515,No.189[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ!! クリアカードコレクションガム4」,Ensky,待我恢复,,
KR-MER-0913,鬼龍 紅郎(デッドマンズ衣装ver.) 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 トレーディングハート型缶バッジ」,HOBBY STOCK Crossroad,待我恢复,,
KR-MER-0914,鬼龍 紅郎(紅月衣装ver.) 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 トレーディングハート型缶バッジ」,HOBBY STOCK Crossroad,待我恢复,,
KR-MER-0915,鬼龍 紅郎(デッドマンズ衣装ver.) 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 トレーディングオーロラアクリルキーホルダー」,HOBBY STOCK Crossroad,待我恢复,,
KR-MER-0916,鬼龍 紅郎(紅月衣装ver.) 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 トレーディングオーロラアクリルキーホルダー」,HOBBY STOCK Crossroad,待我恢复,,
